"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Count
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2000"	"2000"	19696
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2001"	"2001"	20925
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2002"	"2002"	21259
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2003"	"2003"	20680
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2004"	"2004"	22060
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2005"	"2005"	22538
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2006"	"2006"	23186
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2007"	"2007"	24018
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2008"	"2008"	25123
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2009"	"2009"	25043
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2010"	"2010"	24915
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2011"	"2011"	24628
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"1999"	"1999"	1951
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2000"	"2000"	2039
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2001"	"2001"	2169
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2002"	"2002"	2207
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2003"	"2003"	2243
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2004"	"2004"	2409
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2005"	"2005"	2352
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2006"	"2006"	2473
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2007"	"2007"	2486
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2008"	"2008"	2647
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2009"	"2009"	2622
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2010"	"2010"	2721
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2011"	"2011"	2600
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"1999"	"1999"	21031
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2000"	"2000"	21764
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2001"	"2001"	22953
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2002"	"2002"	23077
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2003"	"2003"	23401
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2004"	"2004"	23906
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2005"	"2005"	24331
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2006"	"2006"	25453
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2007"	"2007"	26648
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2008"	"2008"	26392
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2009"	"2009"	27712
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2010"	"2010"	26455
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2011"	"2011"	27323
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2001"	"2001"	13132
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2003"	"2003"	13723
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2004"	"2004"	13825
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2005"	"2005"	14113
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2006"	"2006"	14313
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2007"	"2007"	14741
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2008"	"2008"	14679
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2009"	"2009"	14688
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2010"	"2010"	14682
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2011"	"2011"	14649
	"All Cancer Sites Combined"	"0"	"California"	"06"	"1999"	"1999"	135073
