"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	Count
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	24915
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	2721
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	26455
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	14682
	"All Cancer Sites Combined"	"0"	"California"	"06"	158067
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	21099
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	20329
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	5135
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	2889
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	105903
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	42450
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	6665
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	7301
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	64231
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	31821
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	17301
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	14338
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	25150
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	23341
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	8302
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	28247
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	35245
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	54424
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	26856
	"All Cancer Sites Combined"	"0"	"Mississippi"	"28"	15201
	"All Cancer Sites Combined"	"0"	"Missouri"	"29"	30545
	"All Cancer Sites Combined"	"0"	"Montana"	"30"	5541
	"All Cancer Sites Combined"	"0"	"Nebraska"	"31"	8958
	"All Cancer Sites Combined"	"0"	"Nevada"	"32"	11558
	"All Cancer Sites Combined"	"0"	"New Hampshire"	"33"	7586
	"All Cancer Sites Combined"	"0"	"New Jersey"	"34"	48039
	"All Cancer Sites Combined"	"0"	"New Mexico"	"35"	8827
	"All Cancer Sites Combined"	"0"	"New York"	"36"	104999
	"All Cancer Sites Combined"	"0"	"North Carolina"	"37"	48521
	"All Cancer Sites Combined"	"0"	"North Dakota"	"38"	3502
	"All Cancer Sites Combined"	"0"	"Ohio"	"39"	59173
	"All Cancer Sites Combined"	"0"	"Oklahoma"	"40"	18366
	"All Cancer Sites Combined"	"0"	"Oregon"	"41"	19431
	"All Cancer Sites Combined"	"0"	"Pennsylvania"	"42"	76433
	"All Cancer Sites Combined"	"0"	"Rhode Island"	"44"	5641
	"All Cancer Sites Combined"	"0"	"South Carolina"	"45"	23926
	"All Cancer Sites Combined"	"0"	"South Dakota"	"46"	4030
	"All Cancer Sites Combined"	"0"	"Tennessee"	"47"	33390
	"All Cancer Sites Combined"	"0"	"Texas"	"48"	96908
	"All Cancer Sites Combined"	"0"	"Utah"	"49"	9325
	"All Cancer Sites Combined"	"0"	"Vermont"	"50"	3593
	"All Cancer Sites Combined"	"0"	"Virginia"	"51"	35678
	"All Cancer Sites Combined"	"0"	"Washington"	"53"	33899
	"All Cancer Sites Combined"	"0"	"West Virginia"	"54"	11040
	"All Cancer Sites Combined"	"0"	"Wisconsin"	"55"	29775
	"All Cancer Sites Combined"	"0"	"Wyoming"	"56"	2625
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	714
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	70
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	561
	"Oral Cavity and Pharynx"	"20010-20100"	"Arkansas"	"05"	419
	"Oral Cavity and Pharynx"	"20010-20100"	"California"	"06"	3892
	"Oral Cavity and Pharynx"	"20010-20100"	"Colorado"	"08"	572
	"Oral Cavity and Pharynx"	"20010-20100"	"Connecticut"	"09"	435
	"Oral Cavity and Pharynx"	"20010-20100"	"Delaware"	"10"	131
	"Oral Cavity and Pharynx"	"20010-20100"	"District of Columbia"	"11"	70
	"Oral Cavity and Pharynx"	"20010-20100"	"Florida"	"12"	3057
	"Oral Cavity and Pharynx"	"20010-20100"	"Georgia"	"13"	1097
	"Oral Cavity and Pharynx"	"20010-20100"	"Hawaii"	"15"	171
	"Oral Cavity and Pharynx"	"20010-20100"	"Idaho"	"16"	225
	"Oral Cavity and Pharynx"	"20010-20100"	"Illinois"	"17"	1579
	"Oral Cavity and Pharynx"	"20010-20100"	"Indiana"	"18"	830
	"Oral Cavity and Pharynx"	"20010-20100"	"Iowa"	"19"	450
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	326
	"Oral Cavity and Pharynx"	"20010-20100"	"Kentucky"	"21"	669
	"Oral Cavity and Pharynx"	"20010-20100"	"Louisiana"	"22"	621
	"Oral Cavity and Pharynx"	"20010-20100"	"Maine"	"23"	217
	"Oral Cavity and Pharynx"	"20010-20100"	"Maryland"	"24"	671
	"Oral Cavity and Pharynx"	"20010-20100"	"Massachusetts"	"25"	877
	"Oral Cavity and Pharynx"	"20010-20100"	"Michigan"	"26"	1355
	"Oral Cavity and Pharynx"	"20010-20100"	"Minnesota"	"27"	698
	"Oral Cavity and Pharynx"	"20010-20100"	"Mississippi"	"28"	422
	"Oral Cavity and Pharynx"	"20010-20100"	"Missouri"	"29"	776
	"Oral Cavity and Pharynx"	"20010-20100"	"Montana"	"30"	144
	"Oral Cavity and Pharynx"	"20010-20100"	"Nebraska"	"31"	235
	"Oral Cavity and Pharynx"	"20010-20100"	"Nevada"	"32"	284
	"Oral Cavity and Pharynx"	"20010-20100"	"New Hampshire"	"33"	182
	"Oral Cavity and Pharynx"	"20010-20100"	"New Jersey"	"34"	1006
	"Oral Cavity and Pharynx"	"20010-20100"	"New Mexico"	"35"	212
	"Oral Cavity and Pharynx"	"20010-20100"	"New York"	"36"	2313
	"Oral Cavity and Pharynx"	"20010-20100"	"North Carolina"	"37"	1221
	"Oral Cavity and Pharynx"	"20010-20100"	"North Dakota"	"38"	84
	"Oral Cavity and Pharynx"	"20010-20100"	"Ohio"	"39"	1401
	"Oral Cavity and Pharynx"	"20010-20100"	"Oklahoma"	"40"	576
	"Oral Cavity and Pharynx"	"20010-20100"	"Oregon"	"41"	444
	"Oral Cavity and Pharynx"	"20010-20100"	"Pennsylvania"	"42"	1744
	"Oral Cavity and Pharynx"	"20010-20100"	"Rhode Island"	"44"	162
	"Oral Cavity and Pharynx"	"20010-20100"	"South Carolina"	"45"	633
	"Oral Cavity and Pharynx"	"20010-20100"	"South Dakota"	"46"	108
	"Oral Cavity and Pharynx"	"20010-20100"	"Tennessee"	"47"	887
	"Oral Cavity and Pharynx"	"20010-20100"	"Texas"	"48"	2449
	"Oral Cavity and Pharynx"	"20010-20100"	"Utah"	"49"	174
	"Oral Cavity and Pharynx"	"20010-20100"	"Vermont"	"50"	93
	"Oral Cavity and Pharynx"	"20010-20100"	"Virginia"	"51"	899
	"Oral Cavity and Pharynx"	"20010-20100"	"Washington"	"53"	870
	"Oral Cavity and Pharynx"	"20010-20100"	"West Virginia"	"54"	304
	"Oral Cavity and Pharynx"	"20010-20100"	"Wisconsin"	"55"	739
	"Oral Cavity and Pharynx"	"20010-20100"	"Wyoming"	"56"	67
	"Lip"	"20010"	"Alabama"	"01"	67
	"Lip"	"20010"	"Arizona"	"04"	18
	"Lip"	"20010"	"Arkansas"	"05"	22
	"Lip"	"20010"	"California"	"06"	264
	"Lip"	"20010"	"Colorado"	"08"	39
	"Lip"	"20010"	"Florida"	"12"	101
	"Lip"	"20010"	"Georgia"	"13"	37
	"Lip"	"20010"	"Idaho"	"16"	56
	"Lip"	"20010"	"Illinois"	"17"	81
	"Lip"	"20010"	"Indiana"	"18"	50
	"Lip"	"20010"	"Iowa"	"19"	60
