"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	Count
	"All Cancer Sites Combined"	"0"	"2000"	"2000"	19737
	"All Cancer Sites Combined"	"0"	"2001"	"2001"	20969
	"All Cancer Sites Combined"	"0"	"2002"	"2002"	21301
	"All Cancer Sites Combined"	"0"	"2003"	"2003"	20709
	"All Cancer Sites Combined"	"0"	"2004"	"2004"	22103
	"All Cancer Sites Combined"	"0"	"2005"	"2005"	22570
	"All Cancer Sites Combined"	"0"	"2006"	"2006"	23226
	"All Cancer Sites Combined"	"0"	"2007"	"2007"	24068
	"All Cancer Sites Combined"	"0"	"2008"	"2008"	25158
	"All Cancer Sites Combined"	"0"	"2009"	"2009"	25085
	"All Cancer Sites Combined"	"0"	"2010"	"2010"	24945
	"All Cancer Sites Combined"	"0"	"2011"	"2011"	24665
	"Oral Cavity and Pharynx"	"20010-20100"	"2000"	"2000"	534
	"Oral Cavity and Pharynx"	"20010-20100"	"2001"	"2001"	560
	"Oral Cavity and Pharynx"	"20010-20100"	"2002"	"2002"	563
	"Oral Cavity and Pharynx"	"20010-20100"	"2003"	"2003"	568
	"Oral Cavity and Pharynx"	"20010-20100"	"2004"	"2004"	577
	"Oral Cavity and Pharynx"	"20010-20100"	"2005"	"2005"	647
	"Oral Cavity and Pharynx"	"20010-20100"	"2006"	"2006"	715
	"Oral Cavity and Pharynx"	"20010-20100"	"2007"	"2007"	656
	"Oral Cavity and Pharynx"	"20010-20100"	"2008"	"2008"	698
	"Oral Cavity and Pharynx"	"20010-20100"	"2009"	"2009"	682
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	715
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	684
	"Lip"	"20010"	"2000"	"2000"	77
	"Lip"	"20010"	"2001"	"2001"	59
	"Lip"	"20010"	"2002"	"2002"	86
	"Lip"	"20010"	"2003"	"2003"	52
	"Lip"	"20010"	"2004"	"2004"	62
	"Lip"	"20010"	"2005"	"2005"	69
	"Lip"	"20010"	"2006"	"2006"	80
	"Lip"	"20010"	"2007"	"2007"	49
	"Lip"	"20010"	"2008"	"2008"	51
	"Lip"	"20010"	"2009"	"2009"	50
	"Lip"	"20010"	"2010"	"2010"	67
	"Lip"	"20010"	"2011"	"2011"	56
	"Tongue"	"20020"	"2000"	"2000"	96
	"Tongue"	"20020"	"2001"	"2001"	110
	"Tongue"	"20020"	"2002"	"2002"	119
	"Tongue"	"20020"	"2003"	"2003"	125
	"Tongue"	"20020"	"2004"	"2004"	126
	"Tongue"	"20020"	"2005"	"2005"	173
	"Tongue"	"20020"	"2006"	"2006"	180
	"Tongue"	"20020"	"2007"	"2007"	160
	"Tongue"	"20020"	"2008"	"2008"	186
	"Tongue"	"20020"	"2009"	"2009"	191
	"Tongue"	"20020"	"2010"	"2010"	187
	"Tongue"	"20020"	"2011"	"2011"	166
	"Salivary Gland"	"20030"	"2000"	"2000"	63
	"Salivary Gland"	"20030"	"2001"	"2001"	50
	"Salivary Gland"	"20030"	"2002"	"2002"	40
	"Salivary Gland"	"20030"	"2003"	"2003"	44
	"Salivary Gland"	"20030"	"2004"	"2004"	61
	"Salivary Gland"	"20030"	"2005"	"2005"	57
	"Salivary Gland"	"20030"	"2006"	"2006"	64
	"Salivary Gland"	"20030"	"2007"	"2007"	68
	"Salivary Gland"	"20030"	"2008"	"2008"	65
	"Salivary Gland"	"20030"	"2009"	"2009"	76
	"Salivary Gland"	"20030"	"2010"	"2010"	77
	"Salivary Gland"	"20030"	"2011"	"2011"	75
	"Floor of Mouth"	"20040"	"2000"	"2000"	32
	"Floor of Mouth"	"20040"	"2001"	"2001"	42
	"Floor of Mouth"	"20040"	"2002"	"2002"	38
	"Floor of Mouth"	"20040"	"2003"	"2003"	39
	"Floor of Mouth"	"20040"	"2004"	"2004"	35
	"Floor of Mouth"	"20040"	"2005"	"2005"	38
	"Floor of Mouth"	"20040"	"2006"	"2006"	44
	"Floor of Mouth"	"20040"	"2007"	"2007"	39
	"Floor of Mouth"	"20040"	"2008"	"2008"	37
	"Floor of Mouth"	"20040"	"2009"	"2009"	36
	"Floor of Mouth"	"20040"	"2010"	"2010"	35
	"Floor of Mouth"	"20040"	"2011"	"2011"	34
	"Gum and Other Mouth"	"20050"	"2000"	"2000"	90
	"Gum and Other Mouth"	"20050"	"2001"	"2001"	91
	"Gum and Other Mouth"	"20050"	"2002"	"2002"	90
	"Gum and Other Mouth"	"20050"	"2003"	"2003"	108
	"Gum and Other Mouth"	"20050"	"2004"	"2004"	95
	"Gum and Other Mouth"	"20050"	"2005"	"2005"	109
	"Gum and Other Mouth"	"20050"	"2006"	"2006"	100
	"Gum and Other Mouth"	"20050"	"2007"	"2007"	111
	"Gum and Other Mouth"	"20050"	"2008"	"2008"	119
	"Gum and Other Mouth"	"20050"	"2009"	"2009"	91
	"Gum and Other Mouth"	"20050"	"2010"	"2010"	110
	"Gum and Other Mouth"	"20050"	"2011"	"2011"	101
	"Nasopharynx"	"20060"	"2000"	"2000"	22
	"Nasopharynx"	"20060"	"2001"	"2001"	28
	"Nasopharynx"	"20060"	"2002"	"2002"	31
	"Nasopharynx"	"20060"	"2003"	"2003"	35
	"Nasopharynx"	"20060"	"2004"	"2004"	22
	"Nasopharynx"	"20060"	"2005"	"2005"	27
	"Nasopharynx"	"20060"	"2006"	"2006"	20
	"Nasopharynx"	"20060"	"2007"	"2007"	26
	"Nasopharynx"	"20060"	"2008"	"2008"	31
	"Nasopharynx"	"20060"	"2009"	"2009"	29
	"Nasopharynx"	"20060"	"2010"	"2010"	31
	"Nasopharynx"	"20060"	"2011"	"2011"	29
	"Tonsil"	"20070"	"2000"	"2000"	64
	"Tonsil"	"20070"	"2001"	"2001"	70
	"Tonsil"	"20070"	"2002"	"2002"	68
	"Tonsil"	"20070"	"2003"	"2003"	70
	"Tonsil"	"20070"	"2004"	"2004"	70
	"Tonsil"	"20070"	"2005"	"2005"	69
	"Tonsil"	"20070"	"2006"	"2006"	106
	"Tonsil"	"20070"	"2007"	"2007"	89
	"Tonsil"	"20070"	"2008"	"2008"	101
	"Tonsil"	"20070"	"2009"	"2009"	118
	"Tonsil"	"20070"	"2010"	"2010"	110
	"Tonsil"	"20070"	"2011"	"2011"	120
	"Oropharynx"	"20080"	"2000"	"2000"	26
	"Oropharynx"	"20080"	"2001"	"2001"	35
	"Oropharynx"	"20080"	"2002"	"2002"	30
	"Oropharynx"	"20080"	"2003"	"2003"	27
	"Oropharynx"	"20080"	"2004"	"2004"	32
	"Oropharynx"	"20080"	"2005"	"2005"	30
	"Oropharynx"	"20080"	"2006"	"2006"	57
	"Oropharynx"	"20080"	"2007"	"2007"	36
	"Oropharynx"	"20080"	"2008"	"2008"	41
	"Oropharynx"	"20080"	"2009"	"2009"	30
	"Oropharynx"	"20080"	"2010"	"2010"	33
	"Oropharynx"	"20080"	"2011"	"2011"	38
	"Hypopharynx"	"20090"	"2000"	"2000"	43
	"Hypopharynx"	"20090"	"2001"	"2001"	50
	"Hypopharynx"	"20090"	"2002"	"2002"	44
	"Hypopharynx"	"20090"	"2003"	"2003"	54
	"Hypopharynx"	"20090"	"2004"	"2004"	52
	"Hypopharynx"	"20090"	"2005"	"2005"	56
	"Hypopharynx"	"20090"	"2006"	"2006"	43
	"Hypopharynx"	"20090"	"2007"	"2007"	54
	"Hypopharynx"	"20090"	"2008"	"2008"	43
	"Hypopharynx"	"20090"	"2009"	"2009"	42
	"Hypopharynx"	"20090"	"2010"	"2010"	49
	"Hypopharynx"	"20090"	"2011"	"2011"	37
	"Other Oral Cavity and Pharynx"	"20100"	"2000"	"2000"	21
	"Other Oral Cavity and Pharynx"	"20100"	"2001"	"2001"	25
	"Other Oral Cavity and Pharynx"	"20100"	"2002"	"2002"	17
	"Other Oral Cavity and Pharynx"	"20100"	"2004"	"2004"	22
	"Other Oral Cavity and Pharynx"	"20100"	"2005"	"2005"	19
	"Other Oral Cavity and Pharynx"	"20100"	"2006"	"2006"	21
	"Other Oral Cavity and Pharynx"	"20100"	"2007"	"2007"	24
	"Other Oral Cavity and Pharynx"	"20100"	"2008"	"2008"	24
	"Other Oral Cavity and Pharynx"	"20100"	"2009"	"2009"	19
	"Other Oral Cavity and Pharynx"	"20100"	"2010"	"2010"	16
	"Other Oral Cavity and Pharynx"	"20100"	"2011"	"2011"	28
	"Digestive System"	"21010-21130"	"2000"	"2000"	3713
	"Digestive System"	"21010-21130"	"2001"	"2001"	3862
	"Digestive System"	"21010-21130"	"2002"	"2002"	3874
	"Digestive System"	"21010-21130"	"2003"	"2003"	3882
	"Digestive System"	"21010-21130"	"2004"	"2004"	4085
	"Digestive System"	"21010-21130"	"2005"	"2005"	4136
	"Digestive System"	"21010-21130"	"2006"	"2006"	4214
	"Digestive System"	"21010-21130"	"2007"	"2007"	4344
	"Digestive System"	"21010-21130"	"2008"	"2008"	4634
