"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Count
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2000"	"2000"	534
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2001"	"2001"	559
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2002"	"2002"	563
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2003"	"2003"	567
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2004"	"2004"	574
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2005"	"2005"	645
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2006"	"2006"	715
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2007"	"2007"	655
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2008"	"2008"	698
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2009"	"2009"	679
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2010"	"2010"	714
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2011"	"2011"	684
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2000"	"2000"	48
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2001"	"2001"	52
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2002"	"2002"	50
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2003"	"2003"	52
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2004"	"2004"	59
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2005"	"2005"	59
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2006"	"2006"	60
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2007"	"2007"	66
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2008"	"2008"	62
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2009"	"2009"	74
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2010"	"2010"	70
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2011"	"2011"	83
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2000"	"2000"	519
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2001"	"2001"	444
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2002"	"2002"	476
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2003"	"2003"	497
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2004"	"2004"	538
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2005"	"2005"	561
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2006"	"2006"	535
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2007"	"2007"	593
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2008"	"2008"	622
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2009"	"2009"	593
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2010"	"2010"	561
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2011"	"2011"	666
